Energy
(-1.021938112442453+0j)
(-1.0598525859896075+0j)
(-1.0605136689679+0j)
(-1.059124501395976+0j)
(-1.0625542471110176+0j)
(-1.0595966833831518+0j)
(-1.0610941181979214+0j)
(-1.072276935784886+0j)
(-1.0680604552759507+0j)
(-1.068233071532207+0j)
(-1.0702859226820758+0j)
(-1.0743562746674697+0j)
(-1.0695521950440923+0j)
(-1.0704916496814263+0j)
(-1.074831362074308+0j)
(-1.0701383541189582+0j)
(-1.0676263328934037+0j)
(-1.0703866389109002+0j)
(-1.069942412712542+0j)
(-1.07238985358745+0j)
(-1.0721902708932733+0j)
(-1.0706450859615821+0j)
(-1.0700462354750084+0j)
(-1.0724640238235426+0j)
(-1.0680451939092306+0j)
(-1.070007476303345+0j)
(-1.072443091889604+0j)
(-1.0716343641140904+0j)
(-1.0677413623216117+0j)
(-1.0727115052971965+0j)
(-1.07104676497165+0j)
(-1.0698985311521934+0j)
(-1.0698044028202507+0j)
(-1.0679158503502562+0j)
(-1.0718660725005065+0j)
(-1.0675516984616953+0j)
(-1.0681331153367135+0j)
(-1.0693915666670246+0j)
(-1.0734647543060463+0j)
(-1.0685674923910464+0j)
(-1.0702534883380905+0j)
(-1.074941986655175+0j)
(-1.070735269457008+0j)
(-1.0660261605392685+0j)
(-1.0700377808839545+0j)
(-1.0696791436752722+0j)
(-1.072206332283574+0j)
(-1.0682294573717694+0j)
(-1.0705345332655667+0j)
